scenario,attack_intensity,actual_attack_type,records,avg_mai,avg_pdr,avg_latency_ms,avg_route_deviation,avg_coverage,tamper_rate,avg_detection_delay
combined,high,combined,6125,0.40778360467788477,0.738938775510204,189.86370720647457,198.74213709138908,33.38060828688542,1.0,15.398367346938775
combined,high,normal,10075,0.8006323608167636,1.0,44.93049300089395,5.986243145951135,49.37752374698259,0.0,0.0
combined,low,combined,2973,0.5150385060414476,0.8681466532122435,96.93841186569261,96.6186398850587,42.26692892683687,1.0,32.72485704675412
combined,low,normal,13227,0.8012757473714623,1.0,45.066770898149116,5.960991907158192,49.65672635967234,0.0,0.0
combined,medium,combined,4441,0.4644504342033335,0.8031974780454852,142.3680247411534,146.762915544385,37.601273676135264,1.0,20.91600990767845
combined,medium,normal,11759,0.8012179945570703,1.0,45.02379121127743,5.962575698424917,49.616422963669905,0.0,0.0
jamming,high,jamming,6121,0.713624598190232,0.7310896912269237,189.65464746044876,6.004141297415737,50.104148532430465,0.0,15.444371834667537
jamming,high,normal,10079,0.8008164708825672,1.0,44.6950726675068,5.972347570578568,49.42138173004899,0.0,0.0
jamming,low,jamming,2830,0.7434677781574613,0.8678445229681979,96.48873897402727,5.96039928874528,50.003752368159034,0.0,32.2321554770318
jamming,low,normal,13370,0.8014602851953903,1.0,45.10450838082813,5.978892233756296,49.714678945058324,0.0,0.0
jamming,medium,jamming,4560,0.7305670873490218,0.7978070175438596,145.85646195726193,6.057165287185379,50.28460694190502,0.0,21.029166666666665
jamming,medium,normal,11640,0.8012202093699444,1.0,45.022933883234096,5.987740759383178,49.60578158205901,0.0,0.0
jamming_spoofing,high,jamming_spoofing,6158,0.5678775743720961,0.7417992854822995,187.3521404096976,199.59796708711173,33.35032354010569,0.0,15.58671646638519
jamming_spoofing,high,normal,10042,0.8009110448191042,1.0,45.190208756294986,5.995563484796119,49.49881836604976,0.0,0.0
jamming_spoofing,low,jamming_spoofing,2824,0.6750382715234245,0.8657932011331445,96.5574477835575,95.61660812125774,42.064194255734506,0.0,32.29815864022663
jamming_spoofing,low,normal,13376,0.8014071678714824,1.0,44.98175860105414,5.9911903739972425,49.69681744274343,0.0,0.0
jamming_spoofing,medium,jamming_spoofing,4543,0.62243893615618,0.802773497688752,144.13694305376663,147.70797549426683,37.254842797403626,0.0,21.127668941228265
jamming_spoofing,medium,normal,11657,0.801493807555344,1.0,45.01628243328708,6.027394954823982,49.730754124265275,0.0,0.0
jamming_tampering,high,jamming_tampering,6196,0.5527108275904542,0.723531310522918,189.54310919810692,5.910204023637828,49.80974223250363,1.0,15.472885732730795
jamming_tampering,high,normal,10004,0.8010459441287229,1.0,44.903278917827414,5.9729646917476185,49.55842884554113,0.0,0.0
jamming_tampering,low,jamming_tampering,2845,0.5819068496161611,0.8611599297012302,97.49149061124213,6.079946613390179,49.845242267203005,1.0,32.700878734622144
jamming_tampering,low,normal,13355,0.8014948924317219,1.0,44.9326978871074,6.021318599372418,49.749040160565386,0.0,0.0
jamming_tampering,medium,jamming_tampering,4525,0.5704972467709236,0.8053038674033149,143.40494335132138,5.988706464387596,49.85958318142685,1.0,21.16817679558011
jamming_tampering,medium,normal,11675,0.8012431896137534,1.0,45.132661636740856,6.023828239247137,49.621601888490154,0.0,0.0
normal,none,normal,16200,0.8015506924986383,1.0,45.358229217291246,5.982616766223404,49.747709826211235,0.0,0.0
spoofing,high,normal,10077,0.8011126604511246,1.0,44.89561250178679,6.0053106604272335,49.56896375477376,0.0,0.0
spoofing,high,spoofing,6123,0.643381201694934,1.0,44.93768897625256,198.81042031023313,33.14581601604205,0.0,15.425281724644782
spoofing,low,normal,13328,0.8015477197629302,1.0,45.03547433651036,5.999867815349977,49.73636141648477,0.0,0.0
spoofing,low,spoofing,2872,0.7059271640996051,1.0,44.906928301237684,96.43211513515556,42.01812839326238,0.0,33.353760445682454
spoofing,medium,normal,11660,0.801448737395015,1.0,45.22764489046391,5.972425920808111,49.72613422054975,0.0,0.0
spoofing,medium,spoofing,4540,0.6768381158929929,1.0,45.209232924499474,148.5974437473299,37.31910787331576,0.0,20.92224669603524
spoofing_tampering,high,normal,10020,0.8009643706025159,1.0,45.001814217678785,5.971344210493799,49.51335675261082,0.0,0.0
spoofing_tampering,high,spoofing_tampering,6180,0.48342828611131716,1.0,45.1877953427786,199.49445426951857,33.27668692369919,1.0,15.476051779935275
spoofing_tampering,low,normal,13380,0.8013932643047738,1.0,45.147176655754414,6.009359965148929,49.718922550479164,0.0,0.0
spoofing_tampering,low,spoofing_tampering,2820,0.5464610001560793,1.0,45.078705183975515,94.16129397702672,41.70172060572426,1.0,32.83723404255319
spoofing_tampering,medium,normal,11789,0.8011339097259311,1.0,45.153457439775984,6.008440102461423,49.569594405217316,0.0,0.0
spoofing_tampering,medium,spoofing_tampering,4411,0.5176724361284464,1.0,45.13588919939492,147.26850323420877,37.80552429376491,1.0,21.34413965087282
tampering,high,normal,10096,0.8011856675302494,1.0,44.91503583727541,6.01344147743205,49.60327333938078,0.0,0.0
tampering,high,tampering,6104,0.628993469770504,1.0,45.20199475687573,5.929577016369393,49.96509580698993,1.0,15.5478374836173
tampering,low,normal,13406,0.8014491412624581,1.0,44.96640910469328,6.024858813365921,49.724752491861345,0.0,0.0
tampering,low,tampering,2794,0.6143632839134396,1.0,44.80995170213219,6.007448398785497,49.71837014631193,1.0,32.32820329277022
tampering,medium,normal,11667,0.8010491303094188,1.0,45.11622342236506,5.976510780981465,49.56297341172112,0.0,0.0
tampering,medium,tampering,4533,0.6248750499642968,1.0,45.35378063999639,6.028663655804962,50.11235437542082,1.0,20.885285682770792
