scenario,attack_intensity,mission_assurance_index_mean,mission_assurance_index_ci95,mission_success_rate_mean,mission_success_rate_ci95,packet_delivery_ratio_mean,latency_mean,route_deviation_mean,coverage_mean,recovery_time_proxy_sec_mean
combined,high,0.648307653421157,0.0030035538768512296,72.2758989129494,0.42441051517350875,0.8949074074074075,104.36322552494023,80.40832923297727,43.37411545868258,5.847916666666668
combined,low,0.7488805158828901,0.0038528700425355744,79.96896607810778,0.24729315293117263,0.970580808080808,54.86379296285786,21.992052081783115,48.3846450335408,6.0903409090909095
combined,medium,0.7065239525887087,0.0034161823233224485,76.9001092612055,0.371402615261666,0.9441919191919191,73.64094844102705,44.77810229863478,46.32255877295761,6.118244949494948
jamming,high,0.767453265018836,0.0012436859199302169,80.05224450639074,0.1603322660341959,0.9003472222222222,100.12646939646677,6.0538228713293,49.81634540083582,5.716388888888887
jamming,low,0.7909188434248771,0.0007852232318671114,82.18542868840322,0.1341426316880583,0.9716579861111111,54.74615402596893,5.993887778666125,49.91707713678441,5.871527777777779
jamming,medium,0.780281589882879,0.0010757410806318455,81.25408746665417,0.1418010808065931,0.9431051587301588,75.25400405600537,6.01444240009249,49.82316870561829,6.044444444444447
jamming_spoofing,high,0.7133496074885538,0.0019867962795904475,74.39986397967454,0.23636860155709016,0.8970920138888889,101.55791579347667,78.79383458651861,43.56797753436737,5.610329861111114
jamming_spoofing,low,0.7787390246673983,0.001487415882544536,81.00850178160228,0.20854558348043367,0.9758730158730159,54.859916175490305,21.63269369462332,48.306578678421296,5.769751984126982
jamming_spoofing,medium,0.7516804558780027,0.002749584006015992,78.27562919073812,0.28817149652358737,0.9438271604938273,73.46010148904526,45.42009623200201,46.32058635623128,5.697530864197533
jamming_tampering,high,0.7067635685554334,0.002865924100735603,78.12994252327753,0.27124957482268097,0.895775462962963,101.35282759059118,6.032904829838212,49.87991759051919,5.905787037037038
jamming_tampering,low,0.7635975149404982,0.002897962645883693,81.46082290504712,0.2477739823399389,0.9768589743589744,53.927815389737816,6.124697790588109,49.68806844040897,5.537756410256413
jamming_tampering,medium,0.7363067658158647,0.0026233722832954857,79.96902951628222,0.23165252558223898,0.9444444444444445,73.70509760080073,6.100068127415682,49.74331504310705,5.831782407407409
normal,none,0.8019546328306455,0.0004368657928086039,83.83601905839964,0.0428539204512715,1.0,44.984237698364915,5.927633955045318,49.998331733972414,0.0
spoofing,high,0.7413339107156264,0.0012941634550651666,77.2141730987087,0.14362043054070248,1.0,45.13371135497861,79.17708460855123,43.36246025956215,5.8335648148148165
spoofing,low,0.7853272517074762,0.0015481182480783307,81.73055357501549,0.19689103110654393,1.0,44.847125231026794,21.281270654729436,48.482850658384486,5.8222916666666675
spoofing,medium,0.7670244581308632,0.0014019211139481744,79.84973335160208,0.13987988072350957,1.0,45.358484584347245,45.291002818550865,46.26070111315555,5.717824074074076
spoofing_tampering,high,0.6836723502681515,0.003558646627691727,75.65029936171972,0.2572277015149502,1.0,44.81881510780093,77.17516794975839,43.783184439511075,5.779513888888889
spoofing_tampering,low,0.7562645597049331,0.0019351714518713896,80.83418578624901,0.12662610238400498,1.0,45.00094970191617,21.71836977066121,48.41092318647235,5.771974206349205
spoofing_tampering,medium,0.7212713406213652,0.0019260583164191405,78.40524974439353,0.140436285025033,1.0,44.938789342427114,46.85242177539441,46.35240796164932,5.971249999999999
tampering,high,0.736568186620132,0.0015121261872674996,81.1048646812615,0.07576368556486916,1.0,45.00267425310063,5.913378924896834,49.7889129894836,5.825694444444445
tampering,low,0.7693839395508408,0.002818314846144189,82.10889191404175,0.17897075841685323,1.0,44.79097888089194,6.00511099353672,49.846030073870764,5.733125
tampering,medium,0.753103042930032,0.002139222743992031,81.61319514423789,0.09895883185831912,1.0,45.07826322994798,6.061080493260846,49.81884036375441,5.730989583333335
